bib,name,gender,country,age_group,point,overall_rank,group_rank,gender_rank,time_overall,time_swim,time_bike,time_run,time_T1,time_T2,link,certificate
346,"Kitipongpithaya, Kittiwarang",female,tha,30-34,0,--,--,--,DNF,02:15:52,--:--:--,--:--:--,00:08:29,---,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=346&rd=2016-11-12,
820,"Ohshima, Hirofumi",male,jpn,45-49,"4,078",117,19,106,10:51:05,01:02:24,05:39:57,03:59:10,00:04:47,00:04:47,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=820&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=820&rd=20161112
965,"Sjaiful, Juswil Adriani",male,mys,50-54,"1,532",628,29,544,15:23:30,02:09:18,07:17:07,05:43:31,00:04:32,00:09:02,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=965&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=965&rd=20161112
562,"Lim, Miow Chin",female,mys,35-39,"1,793",545,10,76,14:42:27,01:28:06,07:40:02,05:24:27,00:06:06,00:03:46,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=562&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=562&rd=20161112
954,"Fox, Darren",male,aus,50-54,"3,113",348,15,295,13:11:47,01:20:34,06:16:23,05:22:16,00:06:25,00:06:09,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=954&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=954&rd=20161112
867,"Chalermdamrichai, Vatin",male,tha,45-49,"1,000",798,111,696,16:43:56,01:39:10,08:43:56,06:07:06,00:07:10,00:06:34,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=867&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=867&rd=20161112
175,"Muhammad, Ahmad Syazrin",male,mys,25-29,"1,000",738,55,640,16:19:32,02:03:14,07:22:49,06:31:26,00:07:09,00:14:54,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=175&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=175&rd=20161112
813,"Reyes, Gerard",male,phl,45-49,"1,641",493,73,424,14:14:12,01:24:57,07:19:50,05:11:25,00:09:45,00:08:15,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=813&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=813&rd=20161112
695,"Hock Guan, Liaw",male,mys,40-44,"1,000",601,99,521,15:11:58,01:56:59,06:54:14,06:05:54,00:07:41,00:07:10,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=695&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=695&rd=20161112
525,"Hanyu, Soichiro",male,jpn,35-39,"4,530",85,18,77,10:32:54,01:08:43,05:26:06,03:51:32,00:04:29,00:02:04,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=525&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=525&rd=20161112
213,"Yap, Alan",male,sgp,30-34,"1,000",758,114,660,16:28:16,01:56:09,08:02:56,06:06:33,00:13:00,00:09:38,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=213&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=213&rd=20161112
449,"Law, Yee Tee",male,mys,35-39,0,--,--,--,17:05:15,01:53:37,07:40:47,07:11:29,00:09:26,00:09:56,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=449&rd=2016-11-12,
497,"Tan, Khim Bok",male,mys,35-39,"2,685",339,62,288,13:06:41,01:19:48,06:34:19,04:59:33,00:07:25,00:05:36,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=497&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=497&rd=20161112
195,"Bay, Kasper",male,dnk,25-29,"3,909",134,10,122,11:01:43,01:13:34,05:23:53,04:18:00,00:03:19,00:02:57,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=195&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=195&rd=20161112
549,"Binti Mohd Noor, Harum Delima",female,mys,35-39,"1,769",549,11,78,14:44:26,01:21:07,07:29:30,05:47:02,00:03:32,00:03:15,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=549&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=549&rd=20161112
903,"Kolosova, Maria",female,rus,45-49,"3,323",345,7,53,13:10:21,01:43:20,07:08:58,04:09:31,00:03:54,00:04:38,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=903&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=903&rd=20161112
53,"Schink, Lina-Kristin",female,deu,PRO,"4,284",72,7,8,10:25:13,01:11:47,05:29:10,03:40:19,00:02:18,00:01:39,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=53&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=53&rd=20161112
355,"Bretherick, Jocelyn",female,zaf,30-34,"5,000",126,1,12,10:57:04,00:56:44,05:50:01,04:04:30,00:02:58,00:02:51,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=355&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=355&rd=20161112
397,"Mariano, Marvin",male,phl,35-39,"2,540",367,68,314,13:18:44,01:38:22,06:34:05,04:56:17,00:05:08,00:04:52,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=397&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=397&rd=20161112
810,"Klentzi, Jean-Francois",male,fra,45-49,"3,231",228,38,198,12:01:43,01:29:32,05:54:30,04:25:01,00:07:38,00:05:02,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=810&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=810&rd=20161112
927,"Isaac, Ian",male,aus,50-54,"1,000",766,43,668,16:31:13,01:15:29,06:48:28,08:14:39,00:08:01,00:04:36,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=927&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=927&rd=20161112
253,"Farghaly, Muhammad",male,egy,30-34,0,--,--,--,16:32:16,01:57:27,08:30:55,05:45:17,00:10:40,00:07:57,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=253&rd=2016-11-12,
998,"De Joux, Iain",male,phl,55-59,0,--,--,--,DNF,02:01:09,07:33:39,--:--:--,00:12:38,---,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=998&rd=2016-11-12,
733,"Gemmell, Michelle",female,aus,40-44,"4,399",225,9,30,12:01:10,01:14:28,05:52:21,04:47:10,00:03:31,00:03:40,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=733&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=733&rd=20161112
460,"Sujairi, Mohamad",male,mys,35-39,"1,000",756,147,658,16:27:14,01:55:58,07:50:17,06:29:43,00:06:15,00:05:01,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=460&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=460&rd=20161112
756,"Turnseck-James, Anna",female,aus,40-44,"4,385",230,10,31,12:02:18,01:13:28,06:10:49,04:30:10,00:04:43,00:03:08,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=756&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=756&rd=20161112
513,"Sunagawa, Ryota",male,jpn,35-39,"3,338",250,45,214,12:12:18,01:38:43,06:20:21,04:05:46,00:04:33,00:02:55,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=513&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=513&rd=20161112
